Station Code,Station-Location,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,ENTRY DATE
1185,Rishikesh,26,28,27,5.2,6.5,6.03,8,8.1,7.9,440,1120,697,0.3,1.2,0.6,6.8,25.5,13.3,NA,NA,NA,12,900,471,34,1600,1078,1/15/2017
1163,Vishakapatnam,26,36,29,6.1,8.5,7.15,8,8.5,8,300,550,443,0.6,2.7,1.18,5.1,20.3,13.5,NA,NA,NA,80,900,695,220,1600,1255,1/15/2017
1187,Garhmukteshwar,25,36,29,4.5,7.9,6.4,7,7.8,7.5,180,580,323,0.1,4.1,1.73,3.6,4.7,4,NA,NA,NA,280,900,745,1600,9000,3450,1/15/2017
1164,Kannauj,28,30,29,6.5,7.2,6.78,8,8.4,8.2,260,420,345,0.1,0.6,0.35,2.3,4.5,3.1,NA,NA,NA,8,300,154,22,900,516,1/15/2017
1186,Kanpur,26,34,29,5.8,7.6,6.8,8,8.3,8.1,630,2400,1110,0.2,1.7,0.9,4,19.9,11,NA,NA,NA,280,900,645,1600,1900,1675,1/15/2017
2195,Allahabad,25,29,27,2.8,5.8,4.27,7,8.5,8,195,1434,964,6.5,21.2,12.8,0.1,0.5,0.2,0.6,0.6,0.6,70,275,181,225,1600,871,1/15/2017
1463,Varanasi,22,32,25,4.9,6.9,6.22,8,8.8,8.1,78,784,348,5.6,11.5,7.93,0.1,0.3,0.1,NA,NA,NA,75,250,143,350,1600,746,1/15/2017
2186,Patna,17,21,19,5.9,6.8,6.17,8,8.4,8,293,406,349,3.5,12,7.17,0.1,0.2,0.1,NA,NA,NA,40,170,104,425,900,704,1/15/2017
2189,Chennai,17,21,20,1.7,6.5,5.13,8,8.5,8.1,92,350,193,5.8,35.5,13.4,0.1,0.3,0.1,NA,NA,NA,30,150,79,350,900,579,1/15/2017
1185,Rishikesh,24,30,27,1,4.9,3.92,8,8.4,7.8,157,3330,875,15,32,21.7,0.1,0.8,0.4,0.1,0.1,0.1,95,550,288,275,1800,1188,2/15/2017
1163,Vishakapatnam,24,30,27,0,5.4,3.38,7,8.4,7.9,233,617,414,11,50,21.8,0.1,0.5,0.2,NA,NA,NA,80,425,284,425,1800,1388,2/15/2017
1187,Garhmukteshwar,26,31,28,0,5.1,3.18,7,8.4,7.8,133,497,334,9.8,36,20.6,0.1,0.6,0.3,NA,NA,NA,200,350,250,900,1800,1433,2/15/2017
1164,Kannauj,26,32,28,0,3,1.12,7,8.3,7.7,353,495,432,21,32,26.2,0.1,0.4,0.2,NA,NA,NA,110,350,260,1600,1800,1700,2/15/2017
